Generation,Best_Fitness,Avg_Fitness,Worst_Fitness,Best_Cost,Best_Quality,Best_Lead_Time,Diversity
1,0.06677616558938015,-0.39811946058066616,-1.0590433790162033,628371.1785992879,0.8873139807157632,15.186327541025527,6.15195643446448
2,0.07862885352746019,-0.23276401933157442,-1.0849410429699364,615075.2824922691,0.8863546376619006,15.313486052029571,6.133899157817512
3,0.15006587870730298,-0.11228676751115867,-0.4548129677821809,653540.6974479109,0.88,16.438033351137605,6.022171982800294
4,0.1775405248780575,-0.04371033884021911,-0.6155900703453461,686937.6483217264,0.88,14.449038695918889,5.752328595335233
5,0.19182729081791025,0.022804656770819057,-0.38585833832834676,713990.5322549411,0.8799999999999999,14.422586841382346,5.725354163147684
6,0.20297949779793223,0.06428213801023004,-0.2786836427540271,687912.2811182321,0.88,14.107572184915604,5.567410068802408
7,0.22782689744712623,0.09895006717750882,-0.4635565811582579,706834.1596615197,0.8799999999999999,12.592453639242517,5.51639150679396
8,0.245392590645862,0.13291860948322468,-0.2792971301798932,730129.738657641,0.8800000000000001,13.246746709812482,5.227552034483697
9,0.245392590645862,0.11799138846675417,-0.46563770542234945,730129.738657641,0.8800000000000001,13.246746709812482,5.212417411520678
10,0.24939962710376162,0.1525406443690419,-0.5366402665491206,724004.379011701,0.8799999999999999,12.956662024153719,5.234960704938645
11,0.24939962710376162,0.16391505741339593,-0.4265760418027109,724004.379011701,0.8799999999999999,12.956662024153719,4.923696577059732
12,0.25664628481116086,0.17903241263250141,-0.20922391124708306,743428.2336306617,0.88,12.44142261239479,4.621118913078302
13,0.25814390867194226,0.18608088388750563,-0.13184882437075945,742262.675795721,0.8800000000000001,12.330651616774864,4.759537849901849
14,0.26261431853073847,0.1801832613685864,-0.3876580979134446,751516.2576208704,0.8800000000000001,12.0,4.772912473494104
15,0.26261431853073847,0.18904670696127743,-0.37162243106968773,751516.2576208704,0.8800000000000001,12.0,4.765919668488865
16,0.26261431853073847,0.18908759840905823,-0.6155646361254143,751516.2576208704,0.8800000000000001,12.0,4.683989809865267
17,0.26261431853073847,0.18313998296298417,-0.1980795719750984,751516.2576208704,0.8800000000000001,12.0,4.7734965858610545
18,0.26261431853073847,0.20064584361271065,-0.19114833762603717,751516.2576208704,0.8800000000000001,12.0,4.667337230244828
19,0.26261431853073847,0.20082320489391883,-0.19804691970922994,751516.2576208704,0.8800000000000001,12.0,4.740926493488234
20,0.26261431853073847,0.21100074557308218,-0.24325265846719596,751516.2576208704,0.8800000000000001,12.0,4.9408205481804846
21,0.26261431853073847,0.18573366232753966,-0.5083005202002348,751516.2576208704,0.8800000000000001,12.0,4.96977937174883
22,0.26261431853073847,0.2151072135119108,-0.19158068238964243,751516.2576208704,0.8800000000000001,12.0,4.853602444609773
23,0.26261431853073847,0.18902316709084588,-0.4673951262604419,751516.2576208704,0.8800000000000001,12.0,4.937866063551436
24,0.26261431853073847,0.20046818401568692,-0.3435902602033596,751516.2576208704,0.8800000000000001,12.0,4.843390892266341
25,0.26261431853073847,0.20066196599941946,-0.22837863929111057,751516.2576208704,0.8800000000000001,12.0,4.914343925631331
26,0.26261431853073847,0.21051804542311825,-0.3753272104316735,751516.2576208704,0.8800000000000001,12.0,4.607311666707443
27,0.26261431853073847,0.20793529582018574,-0.27645727794839936,751516.2576208704,0.8800000000000001,12.0,4.6393613993196015
28,0.26261431853073847,0.1942505341152186,-0.20086930438311457,751516.2576208704,0.8800000000000001,12.0,4.576469022938276
29,0.26261431853073847,0.2122596107598199,-0.24592389012319205,751516.2576208704,0.8800000000000001,12.0,4.812753851899246
30,0.2632042642613225,0.1970052886396061,-0.22595116128679726,752962.1980567332,0.8800000000000001,12.000000000000002,4.685432420170603
